user_id,playlist_id,playlist_name,list_tracks
10622091,62673485,likemike,[50286523]
10622091,55959845,makj,[162279575]
10622091,31468552,Calvin harris,[]
10622091,27223741,W&W,[]
10622091,27116913,W&W,[132690481]
10622091,27109802,W&W,[84911849]
576392883,990467353,🤤,"[727222465, 344374015, 522974511, 561671055, 227051808, 596103237, 720002875, 574820883, 486938847, 542021604, 277871163, 342698149, 669759752, 488556033, 57645202, 691010353, 78726841, 280466039, 388414034, 402893568, 97726071, 387416021, 652580711, 498189939, 746113729, 928925575, 891324937, 864256195, 784689673, 448857708, 921666346, 936462469, 779398381, 924424360, 1129821919, 1047063388, 651630350, 928347421, 1196584987, 1281463678, 1281484126]"
576392883,945361834,festa de Manu,[469589724]
76709861,1229852149,do urdu,"[961713943, 67869528, 219992685]"
76709861,1229791276,English,"[316790177, 18015960, 30694177, 699088780, 266091516, 382247555, 398327799, 398690211, 376281014, 359277242, 345286950, 91736067, 162123979, 583767963, 449062449, 314481425, 303783683, 150481926, 960098995]"
137799453,79740333,mekdbdb,[]
137799453,79738640,rude,[]
294966679,327189325,Arslan,"[309333108, 191477804, 192408098, 177509896, 256541119, 342944926]"
294966679,310033362,bunty songs.,"[113662676, 309333108, 342944926]"
107606589,619995699,Groove,"[255984179, 255984140, 255984093, 255984206, 255984133, 255984121, 255984167, 255984081, 255984176, 255984145, 255984171, 255984209, 255984174, 255984196, 255984205, 255984170, 255984097, 255984215, 255984107, 169170570, 122327378, 124173519, 104762415, 206220422, 304325022, 206554832, 368090354, 462014082, 458937066, 458936400, 452562369, 384297908, 374177345, 370170239, 366891752, 361240091, 357671840, 332932834, 282150536, 292915778, 280941078, 398509194, 220203179, 216101530, 208882318]"
107606589,45881769,dope,"[153526953, 161804050, 139052032, 157564819, 137078163, 35034503, 138391667, 107807704, 161132673, 116428153, 81807530, 115468010, 161691397, 140006470, 143553285, 155843750, 37296808, 128350315, 164579043, 109591895, 157794734, 147051584, 137213728, 62242952, 89837612, 156676597, 139101080, 132830386, 170339902, 166806576, 167903150, 165020606]"
189891957,1299481393,مريومتي,"[80063367, 58089619, 34629032, 58089738, 113423141, 564587244, 564583503, 306383883, 490856235, 1090335901, 480010653, 380246810]"
189891957,920218969,♥️♥️♥️♥️,"[611810355, 584376009, 668375939, 633712977, 692970247, 541934007, 594732924, 609827820, 458860356, 604450416, 380084435, 458839026, 183975122, 486910965, 279529240, 582865254, 515986815, 470619861, 462031299]"
324434104,1201123954,zapierdalaj,[585160686]
324434104,1201115527,Oj tak,[713132113]
324434104,719576823,okk,"[453165510, 464774562, 321531017, 383168603, 580878831, 525256119, 493015293, 329845497, 410073396, 516134868, 320907503, 424672818, 504997842, 396824862, 185833477, 184280292, 289439882, 448688805, 392408382, 320907570, 403619925, 508432572, 552632058, 490025847, 585160686, 511931775, 784615234, 623513595, 340304367, 329845000, 323976801]"
324434104,456141975,trap,"[183060640, 220264464, 114893673]"
324434104,343172836,hyhy,"[186326971, 291927974, 251404055, 237962454, 291372487, 298215773, 257449261, 178249226, 182206358]"
394556187,1287144310,ren,"[332831025, 388422869, 440196594, 337849323, 503911809, 241220868, 1129611058, 994391422, 868379128, 608153187, 1125833167, 1030784170, 405865599, 1056976573, 1056972787, 101023575, 57671098, 191769700, 28081794, 704450569, 1047064270, 1021437505, 1021236775, 756449125, 652366532, 889394395, 840656398, 627764913, 452152977, 473273517, 347466713, 571288479, 590543289, 1199580214, 447146061, 1213385833, 1213727728, 1101771511, 327684767, 217714796, 321950300]"
394556187,440405610,rebs playlist,"[345232641, 334930438, 131918585, 345450686, 50660948, 357300881, 349429850, 341199320, 335982139, 341546259, 353852114, 214004294, 234903219, 278334059, 309258289, 265145186, 117671239, 312181110, 73984437, 328338504, 439274589, 437016219, 225245298, 253168209, 464244729, 461520621, 468476970, 372076637, 369974975, 367950182, 177359406, 255823499, 80556326, 166806113, 49297748, 184952393, 486495918, 519580935, 74250663, 123840231, 97091293, 47945824, 204516792, 539560521, 341289671, 337756426, 87617417, 173178118, 576456963, 172627831, 425579649, 342012213, 192584323, 597146499, 431099817, 165558282, 53689174, 207833557, 289272149, 609148122, 12423282, 63135030, 560808738, 282504042, 289043649, 214452405, 621503619, 329779581, 310673344, 137324749, 196726693, 560272131, 653524862, 632100552, 654469112, 62759664, 167437695, 213460396, 98818667, 638121969, 252739311, 607872471, 215862901, 309831866, 578972256, 17665350, 303807090, 651828455, 195677713, 584959245, 172245994, 406527663, 614241660, 655842614, 681996821, 662895761, 672738947, 506128203, 8953620, 657290798, 241592518, 227272264, 353344520, 745402054, 745694665, 21682571, 759828475, 783922054, 157980456, 808950022, 46612353, 498482271, 893127532, 918420241, 712706761, 925376698, 62277729, 827957248, 266482843, 155278, 972966514, 972966565, 965972623, 767652139, 879397279, 1006177225, 978680242, 978500206, 932248375, 978244999, 15964713, 997115983, 840425047, 154614007, 558105159, 1071204931, 129374183, 332831025]"
